item_id,component,qty,candidate_class,required_interface,required_performance,verification_before_order,status
P-01,J1 servo and reducer,1,industrial servo plus rotary reducer,module flange and foundation tower interface,continuous and peak torque based on full inertia model,complete J1 inertia acceleration and duty-cycle calculation,OPEN
P-02,J2 servo motor,1,3-5 kW brake servo candidate,reducer input adapter and absolute encoder,peak torque supports 1552 N.m output design case after ratio and efficiency,freeze motion profile inertia ratio and thermal duty,OPEN
P-03,J2 reducer,1,RV or high-torque precision reducer class,90 mm hollow output shaft and released flange pattern,rated/acceleration/emergency torque and moment load above design spectrum,obtain supplier life stiffness lost-motion and moment curves,CANDIDATE
P-04,J2 cross-roller bearing,1,large preloaded cross-roller bearing,90 mm shaft and housing fit,static/dynamic/moment capacity for full payload envelope,confirm exact series preload lubrication and mounting clamp force,CANDIDATE
P-05,J3 servo and reducer,1,industrial brake servo plus precision reducer,180 mm class joint housing interface,torque selected from final pose/inertia trajectory,complete dynamic torque and thermal calculation,OPEN
P-06,J4 servo and planetary reducer,1,industrial brake servo plus low-backlash planetary reducer,ISO tool-axis and belt interface,wrist torque plus gripper/payload inertia,confirm ratio backlash bearing load and brake,CANDIDATE
P-07,heavy parallel gripper,1,1.8 kN total normal-force class,ISO 9409 flange and pneumatic/electric service,stroke and force support 20 kg payload with selected friction factor,confirm duty cycle fail-safe state and jaw repeatability,CANDIDATE
P-08,gas spring or balancer,1,industrial adjustable balancing element,pin joints and available installation length,force curve offsets arm gravity over operating range,confirm end force stroke temperature and lifetime,CANDIDATE
P-09,cable chains,2,high-flex industrial drag chain,bend radius and mounting brackets,fill ratio below manufacturer limit and cycle life target,freeze cable OD minimum bend radius and travel,CANDIDATE
P-10,foundation anchors,16,M20-M24 chemical/mechanical anchors candidate,foundation plate and concrete embedment,overturning shear and fatigue capacity,structural engineer approval and site pull-out test required,OPEN
